,year,month,week,hour,report_date,shift,offense,method,district
436,2013,4,16,19,4/17/2013,EVENING,SEX ABUSE,OTHERS,2
437,2013,10,43,19,10/22/2013,EVENING,SEX ABUSE,OTHERS,5
438,2014,3,13,15,3/29/2014,EVENING,SEX ABUSE,KNIFE,5
439,2014,8,32,12,08/03/2014,DAY,SEX ABUSE,OTHERS,6
440,2015,5,21,18,5/22/2015,EVENING,SEX ABUSE,OTHERS,4
441,2014,7,28,6,07/07/2014,MIDNIGHT,SEX ABUSE,OTHERS,1
442,2012,1,3,0,1/18/2012,MIDNIGHT,HOMICIDE,OTHERS,3
443,2015,2,12,4,3/20/2015,MIDNIGHT,HOMICIDE,KNIFE,7
444,2012,5,22,9,5/31/2012,DAY,SEX ABUSE,OTHERS,1
445,2014,11,48,0,11/28/2014,MIDNIGHT,SEX ABUSE,OTHERS,3
446,2016,4,16,0,4/13/2016,MIDNIGHT,SEX ABUSE,OTHERS,7
447,2014,1,4,14,1/23/2014,DAY,SEX ABUSE,OTHERS,1
448,2012,7,27,9,07/06/2012,DAY,SEX ABUSE,OTHERS,6
449,2014,12,49,16,12/01/2014,EVENING,SEX ABUSE,OTHERS,6
450,2012,9,37,18,9/14/2012,EVENING,SEX ABUSE,OTHERS,4
451,2015,11,47,22,11/21/2015,EVENING,SEX ABUSE,KNIFE,3
452,2013,10,40,21,10/05/2013,EVENING,SEX ABUSE,OTHERS,3
453,2012,2,8,19,2/24/2012,EVENING,SEX ABUSE,OTHERS,4
454,2013,5,21,0,5/21/2013,MIDNIGHT,SEX ABUSE,KNIFE,1
455,2013,9,39,6,9/27/2013,MIDNIGHT,SEX ABUSE,OTHERS,5
456,2013,5,18,0,05/04/2013,MIDNIGHT,SEX ABUSE,OTHERS,7
457,2012,9,36,23,09/06/2012,MIDNIGHT,SEX ABUSE,GUN,6
458,2012,11,46,21,11/11/2012,EVENING,SEX ABUSE,OTHERS,7
459,2014,7,29,15,7/14/2014,EVENING,SEX ABUSE,OTHERS,1
460,2013,9,37,11,09/08/2013,DAY,SEX ABUSE,OTHERS,5
461,2013,7,29,13,7/17/2013,DAY,SEX ABUSE,OTHERS,2
462,2015,7,34,1,8/22/2015,MIDNIGHT,HOMICIDE,GUN,6
463,2015,8,31,0,08/01/2015,MIDNIGHT,HOMICIDE,GUN,6
464,2015,6,29,6,7/18/2015,MIDNIGHT,HOMICIDE,GUN,7
465,2014,9,36,5,09/02/2014,MIDNIGHT,SEX ABUSE,OTHERS,3
466,2015,1,3,0,01/11/2015,MIDNIGHT,HOMICIDE,GUN,5
467,2013,10,40,14,10/01/2013,DAY,SEX ABUSE,OTHERS,4
468,2015,7,28,2,07/08/2015,MIDNIGHT,HOMICIDE,GUN,6
469,2013,12,49,20,12/01/2013,EVENING,SEX ABUSE,OTHERS,2
